#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 mt_sequence.bin|  4.95e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.55725496|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10098677|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.11683004|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.61307024|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99588884|   WEAK   
        diehard_opso|   0|   2097152|     100|0.00212016|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.77126498|  PASSED  
         diehard_dna|   0|   2097152|     100|0.46806830|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.16397248|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.10053285|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.08995697|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99040282|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.34210113|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00009610|   WEAK   
        diehard_sums|   0|       100|     100|0.47883130|  PASSED  
        diehard_runs|   0|    100000|     100|0.98006835|  PASSED  
        diehard_runs|   0|    100000|     100|0.46888640|  PASSED  
       diehard_craps|   0|    200000|     100|0.00732061|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000670|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.46114680|  PASSED  
            sts_runs|   2|    100000|     100|0.41215362|  PASSED  
          sts_serial|   1|    100000|     100|0.72937946|  PASSED  
          sts_serial|   2|    100000|     100|0.12550657|  PASSED  
          sts_serial|   3|    100000|     100|0.11155578|  PASSED  
          sts_serial|   3|    100000|     100|0.81201156|  PASSED  
          sts_serial|   4|    100000|     100|0.12200060|  PASSED  
          sts_serial|   4|    100000|     100|0.78814868|  PASSED  
          sts_serial|   5|    100000|     100|0.20678111|  PASSED  
          sts_serial|   5|    100000|     100|0.99991016|   WEAK   
          sts_serial|   6|    100000|     100|0.94463745|  PASSED  
          sts_serial|   6|    100000|     100|0.53929560|  PASSED  
          sts_serial|   7|    100000|     100|0.56570480|  PASSED  
          sts_serial|   7|    100000|     100|0.78345639|  PASSED  
          sts_serial|   8|    100000|     100|0.09755125|  PASSED  
          sts_serial|   8|    100000|     100|0.38064198|  PASSED  
          sts_serial|   9|    100000|     100|0.50337265|  PASSED  
          sts_serial|   9|    100000|     100|0.38390627|  PASSED  
          sts_serial|  10|    100000|     100|0.72519437|  PASSED  
          sts_serial|  10|    100000|     100|0.16341847|  PASSED  
          sts_serial|  11|    100000|     100|0.99926519|   WEAK   
          sts_serial|  11|    100000|     100|0.99873252|   WEAK   
          sts_serial|  12|    100000|     100|0.20710091|  PASSED  
          sts_serial|  12|    100000|     100|0.03658838|  PASSED  
          sts_serial|  13|    100000|     100|0.89482488|  PASSED  
          sts_serial|  13|    100000|     100|0.92256530|  PASSED  
          sts_serial|  14|    100000|     100|0.99063392|  PASSED  
          sts_serial|  14|    100000|     100|0.91435233|  PASSED  
          sts_serial|  15|    100000|     100|0.96925066|  PASSED  
          sts_serial|  15|    100000|     100|0.90537736|  PASSED  
          sts_serial|  16|    100000|     100|0.30403769|  PASSED  
          sts_serial|  16|    100000|     100|0.83134912|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.77730488|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.58231831|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.36415616|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.83399134|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.57892561|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.90218295|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.52408187|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.75326588|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.98887899|  PASSED  
